,neu
601,다
602,포트
603,통해
604,대형
605,연결해
606,내장
607,된
608,가지
609,네오지오
610,오
611,리지
612,널
613,게임
614,즐길
615,있으며
616,추가
617,게임
618,주
619,기적
620,공개
621,될
622,예정
623,이렇게
624,면역
625,력
626,약한
627,상태
628,암
629,수술
630,이나
631,항
632,암치료
633,방사선치료
634,받게
635,되면
636,면역
637,력
638,회복
639,어려움
640,겪을
641,있다
642,그런데
643,필자
644,만의
645,편견
646,일까
647,국내
648,유통
649,공룡
650,어떤
651,생존
652,전략
653,준비
654,하고
655,있나
656,때마침
657,미국
658,중국
659,간
660,단계
661,무역
662,협상
663,진행
664,중이
665,다
666,산속
667,호환
668,피
669,할
670,없을까
671,글로벌
672,진출
673,일환
674,싱가포르
675,굴지
676,메디
677,컬
678,그룹
679,그룹
680,글로벌
681,진출
682,위
683,한
684,업무
685,협약
686,맺고
687,싱가포르
688,비만
689,클리
690,닉
691,호점
692,비롯
693,해
694,아세안
695,국가
696,개
697,이상
698,클리
699,닉
700,개소
701,할
702,계획
703,어떤
704,스윙
705,일까
706,요
707,출품
708,희망
709,하는
710,직업
711,계
712,고
713,학생
714,인
715,이내
716,팀
717,구성
718,해
719,온라인
720,참가
721,신청
722,할
723,있다
724,만에
725,다보스
726,찾은
727,정의선
728,현대차
729,석
730,부회장
731,기술
732,혁신
733,비용
734,절감
735,통해
736,소
737,사회
738,앞당기겠다는
739,방안
740,구상
741,중이
742,다
743,두
744,사람
745,주고받은
746,시가
747,한
748,질
749,이나
750,됐으며
751,당시
752,공
753,경
754,대부도
755,백
756,대붕
757,문장
758,감탄
759,해
760,함부로
761,대하
762,지
763,못
764,했다고
765,한다송
766,큐레이터
767,지인
768,작품
769,소유
770,정리
771,실패한
772,일까
773,확진
774,된
775,영아
776,옷
777,침구
778,류
779,재사용
780,가능한가가
781,바리스타
782,바둑기사
783,되어
784,곳곳
785,사람
786,밀어내는
787,지금
788,인
789,간
790,다
791,움
792,이란
793,어디
794,있을까
795,그래도
796,막상
797,곳
798,떠올린다면
799,다르지
800,않을까
801,확진
802,된
803,산모
804,신생아
805,같은
806,방
807,지내도
808,되나
809,국내
810,민간
811,항공사
812,가운데
813,현재
814,까지는
815,대한항공
816,만
817,대를
818,도입
819,하여
820,운용
821,중이
822,며
823,추가
824,주문
825,한
826,대
827,외
828,대
829,도입
830,예정
831,국제선
832,장거리
833,노선
834,주력
835,기
836,종
837,투입
838,할
839,예정
840,경찰
841,씨
842,남긴
843,메모
844,주변인
845,진술
846,토대
847,구체
848,적
849,사건
850,경위
851,파악
852,중이
853,다
854,코로나
855,팬데믹
856,다
857,끝나가는
858,마당
859,이제
860,와서
861,마스크
862,마케팅
863,왜
864,할까
865,의문
866,수도
867,있다
868,한국
869,경우
870,콘솔
871,중심
872,서구
873,권
874,시장
875,보다는
876,온라인게임
877,주
878,이뤘던
879,중국
880,비롯
881,한
882,아시아
883,권
884,시장
885,성장한
886,탓
887,크다
888,불안
889,위험
890,스러운
891,환경
892,인간
893,뇌
894,하여금
895,편리함과
896,안전
897,선택
898,하게
899,만드는
900,미래
901,사회
902,과연
903,어떠한
904,모습
905,일까
906,첫
907,시즌
908,만
909,달러
910,이상
911,지원
912,할
913,예정
914,지난
915,교섭
916,결렬
917,한
918,번
919,초래
920,한
921,요인
922,이기도
923,하고
924,자칫
925,이번
926,총파업
927,유사한
928,노동계
929,투쟁
930,불씨
931,될
932,있다
933,세종시
934,아파트
935,들썩
936,거리
937,이유
938,무엇
939,일까
940,이유
941,뭘
942,까
943,장인
944,노점
945,개설
946,해
947,다른
948,이용자
949,에게
950,아이템
951,판매
952,하고
953,재화
954,획득
955,할
956,수도
957,있다이
958,극
959,본
960,난
961,뒤
962,관객
963,대부분
964,비슷한
965,감상
966,하지
967,않을까
968,싶다대
969,테러
970,작전
971,이라
972,지만
973,전쟁
974,불사
975,할
976,만큼
977,그렇게
978,긴박한
979,상황
980,이었을까
981,미국
982,포인트
983,금리
984,인상
985,나설
986,경우
987,미국
988,기준금리
989,상단
990,돼
991,한국
992,기준금리
993,같아지게
994,된다뿜
995,기다리지
996,말고
997,촘촘히
998,대책
999,마련
1000,해야
1001,할
1002,그럼
1003,주목
1004,할
1005,만
1006,한
1007,종목
1008,으로는
1009,어떤
1010,있을까요
1011,근래
1012,들어
1013,동물
1014,소재
1015,영화
1016,범람
1017,하는
1018,이유
1019,무엇
1020,일까
1021,전장
1022,배치
1023,된
1024,구
1025,조물
1026,파괴
1027,해
1028,유
1029,불리
1030,전환
1031,할
1032,수도
1033,있다
1034,볼일
1035,보고
1036,꼭지
1037,만
1038,누르면
1039,걸
1040,끝
1041,이라고
1042,믿었는가
1043,교외
1044,경
1045,시
1046,대회
1047,분류
1048,돼
1049,이를
1050,쓸
1051,경우
1052,오히려
1053,불이익
1054,받을
1055,있다
1056,핵심
1057,적
1058,인
1059,추진
1060,과제
1061,민간
1062,사업
1063,부문
1064,경
1065,유차
1066,퇴
1067,출
1068,유도
1069,시민
1070,함께
1071,경
1072,유차
1073,안
1074,사고
1075,안
1076,타기
1077,운동
1078,전개
1079,경
1080,유차
1081,감축
1082,위
1083,한
1084,제도
1085,개선
1086,정책
1087,과감
1088,하게
1089,추진
1090,한다는
1091,계획
1092,둘째
1093,콘택트렌즈
1094,너무
1095,오래
1096,쓰면
1097,안구건조증
1098,원인
1099,될
1100,있다
1101,그런데
1102,현실
1103,어떨까
1104,모유
1105,수유로
1106,영아
1107,에게
1108,코로나
1109,전염
1110,될
1111,위험
1112,코로나
1113,장기
1114,화하면서
1115,자동차
1116,정비
1117,점검
1118,방법
1119,변화
1120,예상
1121,된다
1122,치료
1123,시기
1124,놓치면
1125,증상
1126,점차
1127,악화
1128,할
1129,뿐더러
1130,심한
1131,경우
1132,실명
1133,이어질
1134,있다나
1135,스마트폰
1136,버벅일
1137,어떻게
1138,하는가
1139,환자
1140,입장
1141,편의
1142,성
1143,이나
1144,안전성
1145,어떤가한
1146,호남권
1147,과학고
1148,교장
1149,전
1150,까지는
1151,입학생
1152,가량
1153,매우
1154,뛰어난
1155,실력
1156,보였다며
1157,하지만
1158,최근
1159,비율
1160,정도
1161,줄어든
1162,같다고
1163,전
1164,했
1165,다정
1166,대표
1167,세계
1168,적
1169,사망률
1170,높은
1171,만
1172,성
1173,질환
1174,인
1175,뇌졸중
1176,대한
1177,예
1178,방제
1179,외
1180,삶
1181,질
1182,높여
1183,주는
1184,치매
1185,알츠하이머
1186,치료
1187,제
1188,연구
1189,에도
1190,성과
1191,높이겠다고
1192,말
1193,특히
1194,소나기
1195,내리는
1196,지역
1197,에선
1198,돌풍
1199,함께
1200,천둥
1201,번개
1202,치고
1203,중부내륙
1204,지역
1205,중심
1206,우박
1207,떨어지는
1208,곳
1209,있겠다
1210,현재
1211,명의
1212,대표자
1213,학생
1214,활동
1215,하고
1216,있으며
1217,숫자
1218,점차
1219,늘어날
1220,이용자
1221,다른
1222,세계
1223,명마
1224,이름
1225,영혼
1226,이어
1227,받아
1228,꼬리
1229,귀
1230,초인
1231,적
1232,인
1233,주력
1234,가진
1235,우마
1236,무스
1237,메
1238,함께
1239,트레이닝
1240,하는
1241,교육
1242,기관
1243,트레센
1244,학원
1245,신인
1246,트레이너
1247,역할
1248,맡아
1249,많은
1250,우마
1251,무스
1252,메
1253,목표
1254,인
1255,트윙클
1256,시리즈
1257,활약
1258,하기
1259,위해
1260,고
1261,군
1262,분
1263,투하
1264,이야기
1265,경험
1266,할
1267,있다
1268,그렇다면
1269,서울
1270,수도권
1271,여러
1272,지역
1273,눈
1274,여겨
1275,볼
1276,만
1277,한
1278,곳
1279,어디
1280,일까
1281,그렇다면
1282,조선
1283,최고
1284,명문
1285,가는
1286,어딜
1287,까
1288,유치
1289,썩어
1290,충치
1291,되면
1292,신경
1293,이어진
1294,영구치
1295,씨앗
1296,전이
1297,될
1298,있다
1299,발표
1300,설
1301,연휴
1302,일일
1303,전후
1304,될
1305,있다이
1306,두
1307,프로
1308,투어
1309,외
1310,에도
1311,아마추어
1312,선수
1313,위
1314,한
1315,주간
1316,오픈
1317,컵
1318,진행
1319,될
1320,예정
1321,인천
1322,바르셀로나
1323,노선
1324,인천
1325,이스탄불
1326,노선
1327,운항
1328,나선다
1329,내부
1330,중량
1331,감
1332,있는
1333,인사
1334,찾지
1335,못
1336,하면
1337,외부
1338,낙하산
1339,올
1340,수도
1341,있다
1342,건강
1343,핵심
1344,키
1345,워드
1346,심장
1347,뇌
1348,옮겨오고
1349,인간
1350,의식
1351,기전
1352,밝히려는
1353,뇌
1354,과학
1355,인류
1356,과학
1357,정점
1358,주목
1359,받는
1360,백
1361,교수
1362,국내
1363,에서는
1364,전무하다시피
1365,지
1366,분
1367,세
1368,컨
1369,더리
1370,시장
1371,본격
1372,가동
1373,되고
1374,중소
1375,형
1376,시장
1377,활발해질
1378,있게
1379,세제
1380,혜택
1381,뒷받침
1382,된다면
1383,제
1384,벤
1385,처붐
1386,지속
1387,될
1388,있을
1389,이라고
1390,내다봤다
1391,산모
1392,나
1393,신생아
1394,치료
1395,올해
1396,동승
1397,가능
1398,지역
1399,시간
1400,확장
1401,외
1402,에도
1403,축적
1404,되는
1405,데이터
1406,분석
1407,해
1408,승객
1409,에게
1410,최적화
1411,된
1412,맞춤
1413,형
1414,탑승
1415,형태
1416,추천
1417,하는
1418,기술
1419,고도
1420,화할
1421,예정
1422,지난
1423,스팀
1424,얼리
1425,엑세스
1426,출시
1427,된
1428,이후
1429,스팀
1430,선정
1431,한
1432,최고
1433,출
1434,시작
1435,선정
1436,된
1437,바
1438,있으며
1439,올해
1440,분기
1441,내
1442,정식
1443,출시
1444,할
1445,예정
1446,인공
1447,지능
1448,진화
1449,가져올
1450,미래
1451,어떤
1452,모습
1453,일까
1454,이상문학상
1455,올해
1456,작품집
1457,무사히
1458,출
1459,간
1460,될지는
1461,미지수
1462,다
1463,까마
1464,득
1465,잊고
1466,살았던
1467,걸까
1468,양식
1469,장
1470,스시
1471,집
1472,사용
1473,할
1474,물고기
1475,기를
1476,있고
1477,미션
1478,수행
1479,실패
1480,시
1481,잃은
1482,물고기
1483,어느
1484,정도
1485,회복할
1486,있다
1487,개발
1488,사업
1489,해외
1490,도입
1491,기체
1492,뿐인
1493,국내
1494,민관
1495,헬기
1496,대체
1497,목적
1498,소형
1499,민수
1500,헬기
1501,개발
1502,사업
1503,같은
1504,플랫폼
1505,기반
1506,승객
1507,운송
1508,탐색구조
1509,응급의료
1510,치안유지
1511,화재
1512,진압
1513,운용
1514,할
1515,있는
1516,다
1517,목적
1518,기체
1519,개발
1520,중이
1521,며
1522,초도
1523,비행
1524,거쳐
1525,개발
1526,완료
1527,예정
1528,대검
1529,청구
1530,따라
1531,법무부
1532,감찰
1533,위원회
1534,징계
1535,위원회
1536,거쳐
1537,최종
1538,징계
1539,수위
1540,결정
1541,하게
1542,된다
1543,현재
1544,제품
1545,사진
1546,등록
1547,하면
1548,템플릿
1549,매칭
1550,되도록
1551,하는
1552,인공
1553,지능
1554,자동
1555,추천
1556,솔루션
1557,개발
1558,중이
1559,다
1560,새로
1561,개발
1562,된
1563,코로나
1564,검사
1565,법
1566,휴식
1567,외출
1568,양
1569,호실
1570,선택
1571,하
1572,거나
1573,육성
1574,과정
1575,적성
1576,스킬
1577,획득
1578,할
1579,수도
1580,있다이
1581,세균
1582,충치
1583,나
1584,잇몸
1585,염증
1586,유발
1587,해
1588,치주
1589,질환
1590,일으킬
1591,수도
1592,있다
1593,거품
1594,붕괴
1595,촉발
1596,하는
1597,중국
1598,우한
1599,바이러스
1600,수도
1601,있고
1602,재
1603,집권
1604,노리는
1605,도널드
1606,트럼프
1607,미국
1608,대통령
1609,변덕
1610,수도
1611,있다
1612,즉
1613,정도
1614,지지
1615,받은
1616,정당
1617,득표
1618,만큼
1619,의석
1620,가져가지
1621,못
1622,하는
1623,반면
1624,오히려
1625,지지율
1626,미미한
1627,정당
1628,의석
1629,가져가는
1630,현상
1631,발생
1632,할
1633,있다
1634,코로나
1635,확진
1636,된
1637,영아
1638,마스크
1639,착용
1640,해야
1641,하나
1642,해외
1643,서는
1644,한국
1645,게임
1646,대한
1647,규제
1648,명분
1649,활용
1650,할
1651,있다
1652,해탈
1653,뭐라고
1654,순간
1655,경험
1656,하겠다며
1657,평생
1658,수행
1659,하는
1660,사람
1661,수두
1662,룩
1663,한
1664,세상
1665,시간
1666,걸으며
1667,희
1668,열
1669,공허함을
1670,느낄
1671,있다면
1672,일생
1673,보다
1674,더
1675,좋은
1676,선물
1677,또
1678,있을까
1679,싶다
1680,경찰
1681,목격자
1682,상대로
1683,사고
1684,경위
1685,조사
1686,중이
1687,다
1688,참고
1689,미국
1690,차세대
1691,군용
1692,헬기
1693,개발
1694,각
1695,체급
1696,별
1697,플랫폼
1698,기반
1699,공격
1700,정찰
1701,수송
1702,의무
1703,후송
1704,소
1705,해
1706,탐색구조
1707,단일
1708,플랫폼
1709,모든
1710,임무
1711,가능한
1712,기
1713,종
1714,개발
1715,계획
1716,진행
1717,중이
1718,다
1719,호남
1720,강서
1721,한재
1722,들었으니
1723,상
1724,마련
1725,해
1726,곡식
1727,저장
1728,하고
1729,있는
1730,집
1731,권유
1732,하도록
1733,하십시
1734,오게임
1735,스토리
1736,진행
1737,할수록
1738,각
1739,캐릭터
1740,에게
1741,영감
1742,준
1743,실존
1744,경주마
1745,특성
1746,성격
1747,잘
1748,고증
1749,하는
1750,세계관
1751,확인
1752,할
1753,있다이를
1754,위해
1755,공군
1756,기존
1757,성능
1758,개량
1759,함께
1760,장거리
1761,공수
1762,능력
1763,확보
1764,위해
1765,보잉
1766,에어버스
1767,같은
1768,대형
1769,기
1770,종
1771,도입
1772,할
1773,예정
1774,해상
1775,펼쳐지는
1776,함선
1777,간
1778,전투
1779,그린
1780,모바일
1781,어드벤처
1782,가디언
1783,프로젝트
1784,일본
1785,유명
1786,게임
1787,소재
1788,제작
1789,된
1790,여성향
1791,게임
1792,검
1793,시간
1794,긋다
1795,방치
1796,형
1797,모바일
1798,방치
1799,학
1800,개론
1801,가칭
1802,상반기
1803,출시
1804,한다는
1805,계획
1806,대
1807,사이
1808,경험
1809,많은
1810,멘토
1811,말씀
1812,드리자면
1813,실패
1814,없는
1815,창조
1816,혁신
1817,없다는
1818,입니다
1819,알고리즘
1820,스
1821,테이블
1822,코인
1823,특성
1824,상
1825,가격
1826,고정
1827,무너졌다가
1828,다시
1829,복구
1830,하는
1831,흐름
1832,언제
1833,든
1834,생겨날
1835,있다는
1836,총
1837,억
1838,개
1839,공급
1840,되며
1841,보유
1842,재단
1843,거버넌스
1844,투표
1845,참여
1846,할
1847,있다
1848,임신부
1849,감염
1850,되면
1851,임신
1852,경과
1853,어떤
1854,영향
1855,미치나
1856,그렇다면
1857,국회의원
1858,지역구
1859,민원
1860,창구
1861,라는
1862,말
1863,일까
1864,투자가
1865,성사
1866,됐더라면
1867,올해
1868,토론토
1869,블루제이스
1870,이적
1871,한
1872,류현진
1873,선수
1874,다저스
1875,잔류
1876,해
1877,프랜차이즈
1878,스타
1879,자리매
1880,김
1881,했을지도
1882,모른다
1883,최근
1884,노동
1885,정책
1886,판결
1887,빠른
1888,변화
1889,기업
1890,입장
1891,에서는
1892,슬기롭게
1893,대처
1894,할
1895,있는
1896,방안
1897,고민
1898,중이
1899,다
1900,그렇다면
1901,차천로
1902,과연
1903,어떤
1904,비석
1905,두고
1906,이런
1907,말
1908,했던
1909,걸까
1910,향후
1911,국내
1912,보급
1913,계획
1914,게임
1915,사는
1916,오픈
1917,마켓
1918,형태
1919,전용
1920,플랫폼
1921,인
1922,게임
1923,더하기
1924,플랫폼
1925,컨설팅
1926,마케팅
1927,더빙
1928,번역
1929,테스트
1930,서비스
1931,인프라
1932,필요한
1933,해외진출
1934,지원
1935,서비스
1936,직접
1937,검색
1938,조회
1939,해
1940,사용
1941,할
1942,있다
1943,밤
1944,북쪽
1945,밤하늘
1946,무수
1947,한
1948,유성우
1949,별똥별
1950,조우
1951,할
1952,있을까
1953,네트워크
1954,업그레이드
1955,할
1956,마다
1957,새
1958,시즌
1959,될
1960,마다
1961,고객
1962,에게도
1963,또
1964,다른
1965,서비스
1966,드려야
1967,하지
1968,않을까요
1969,독일
1970,출신
1971,베네딕토
1972,세
1973,아르헨티나
1974,출신
1975,프란치스코
1976,교황
1977,사이
1978,엔
1979,어떤
1980,일이
1981,있었을까
1982,혈액
1983,방사선
1984,조
1985,사기란
1986,무엇
1987,인가
1988,가뜩이나
1989,줄어든
1990,게임
1991,산업
1992,대한
1993,투자
1994,더
1995,줄어들
1996,있다
1997,디지털
1998,미디어렙
1999,광고
2000,매체
2001,판매
2002,대행
2003,사을
2004,넘어
2005,넘버원
2006,디지털
2007,마케팅
2008,플랫폼
2009,기업
2010,도약
2011,할
2012,병원
2013,전달
2014,된
2015,후원
2016,금은
2017,방호복
2018,마스크
2019,손세정제
2020,부족
2021,어려움
2022,겪고
2023,있는
2024,현장
2025,의료
2026,진
2027,방역
2028,물품
2029,지원
2030,하는
2031,데
2032,우선
2033,적
2034,쓰이며
2035,환자
2036,치료
2037,위
2038,한
2039,의료
2040,기기
2041,구비
2042,확산
2043,방지
2044,위해
2045,노력
2046,하는
2047,의료
2048,진
2049,활동
2050,사용
2051,될
2052,예정
2053,아름다운
2054,풍
2055,광
2056,눈앞
2057,있는데
2058,어찌
2059,속세
2060,잊고
2061,수행
2062,정진
2063,할
2064,있을까
2065,싶다
2066,과연
2067,공주
2068,단종
2069,유복자
2070,관노
2071,삶
2072,살았을까
2073,항
2074,암치료
2075,면역
2076,력
2077,높여
2078,암세포
2079,사멸
2080,하도록
2081,돕는
2082,한의학
2083,면역
2084,치료
2085,병행
2086,하면
2087,암
2088,전이
2089,재발
2090,확률
2091,낮출
2092,있다
2093,다른
2094,쪽
2095,전시
2096,된
2097,친환경
2098,데이터
2099,센터
2100,솔루션
2101,부스
2102,에선
2103,단순히
2104,냉각수
2105,활용
2106,해왔던
2107,기존
2108,시스템
2109,보다
2110,에너지
2111,절감
2112,효과
2113,볼
2114,있다고
2115,국가
2116,미래
2117,좌우
2118,될
2119,만큼
2120,중요한
2121,자리
2122,자신
2123,나서서
2124,하겠다고
2125,나선
2126,사람
2127,누구
2128,일까
2129,토론토
2130,블루제이스
2131,선발
2132,메이저리그
2133,시작
2134,하는
2135,류현진
2136,올해
2137,성적표
2138,어떨까
2139,그런데
2140,과연
2141,푸드
2142,테크
2143,협의
2144,회
2145,대기업
2146,스타트업
2147,간
2148,협력
2149,가능할까
2150,그렇다면
2151,조선군
2152,형편
2153,없는
2154,겁쟁이
2155,였을까
2156,장마
2157,태풍
2158,여름
2159,이라는
2160,계절
2161,적
2162,요인
2163,승용차
2164,이용
2165,률
2166,증가
2167,하여
2168,추위
2169,오면
2170,점검
2171,미뤘던
2172,고장
2173,증가
2174,할
2175,예상
2176,된다
2177,전투
2178,한
2179,뒤
2180,보내
2181,적의
2182,후방
2183,교란
2184,하
2185,거나
2186,갑작스러운
2187,전체
2188,돌진
2189,전세
2190,역전
2191,할
2192,있다
2193,바이러스
2194,어디
2195,튈지
2196,모른다
2197,검사
2198,징계
2199,법
2200,조
2201,따르면
2202,징계
2203,사유
2204,관련
2205,해
2206,공소
2207,제기
2208,된
2209,경우
2210,사건
2211,완결
2212,될
2213,징계
2214,심의
2215,정지
2216,되지만
2217,징계
2218,사유
2219,대한
2220,명백한
2221,증명
2222,자료
2223,있는
2224,경우
2225,징계
2226,심의
2227,진행
2228,할
2229,있다
2230,여기
2231,한정
2232,된
2233,코스트
2234,내
2235,별도
2236,능력
2237,렙톤
2238,착용
2239,해
2240,전략
2241,고도
2242,화할
2243,있다
2244,한일
2245,관광
2246,산업
2247,직면
2248,한
2249,문제
2250,해법
2251,한일
2252,협력
2253,찾아보는
2254,어떨까
2255,저녁
2256,경
2257,기
2258,남부
2259,충청권
2260,중심
2261,소나기
2262,내리는
2263,곳
2264,있겠다
2265,국보
2266,호
2267,숭례문
2268,현판
2269,과연
2270,누가
2271,썼을까
2272,애써
2273,오를
2274,만
2275,한
2276,산
2277,아니지만
2278,일생
2279,한
2280,번은
2281,가봐야
2282,할
2283,수행
2284,산길
2285,이라
2286,할
2287,있다
2288,칠판
2289,적기
2290,전
2291,수첩
2292,먼저
2293,확인
2294,또한
2295,대표자
2296,학생
2297,몇몇
2298,곧
2299,수첩
2300,하나
2301,씩
2302,지급
2303,받을
2304,예정
2305,특히
2306,논란
2307,큰
2308,어떤
2309,경우
2310,대폭
2311,적
2312,인
2313,업무
2314,증가
2315,볼
2316,있는
2317,지다이
2318,날
2319,경북
2320,내
2321,륙
2322,지방
2323,중심
2324,낮
2325,기온
2326,오르면서
2327,후텁지근
2328,한
2329,날씨
2330,이어지겠다
2331,남자
2332,여자
2333,친구
2334,될
2335,있을까
2336,공군
2337,태평양
2338,횡단
2339,직항
2340,비행
2341,처음
2342,이번
2343,방미
2344,비행
2345,통해
2346,조종사
2347,장거리
2348,항법
2349,훈련
2350,경험
2351,할
2352,있어
2353,좋으며
2354,미
2355,공군
2356,기지
2357,무료
2358,사용
2359,워싱턴
2360,가기
2361,위해
2362,대한항공
2363,인천
2364,워싱턴
2365,덜레스
2366,항공
2367,편
2368,왕복
2369,이용
2370,하는
2371,비용
2372,보다
2373,경제
2374,적
2375,예산
2376,절감
2377,효과
2378,기대
2379,된다
2380,기존
